URI,UUID
new-Primetime-master/Android_RefImpl_1.4/c_1.4_entitlement-overvivew.xml,f80168aa-34de-4a1f-8ced-a6549458fa87
new-Primetime-master/Android_RefImpl_1.4/t_1.4_integrate-pass.xml,4e937dba-a671-4c30-bd20-e4fcab34bc87
new-Primetime-master/Android_RefImpl_1.4/t_1.4_pass-analytics-setup.xml,115f186f-b8f6-4572-a8bc-4b4674dbf847
new-Primetime-master/Android_RefImpl_1.4/r_1.4_pass-apis-callbacks.xml,fc2e46ee-2e5e-4ee8-84a5-dffff798cc66
new-Primetime-master/Android_RefImpl_1.4/c_1.4_video-analytics.xml,da27d39d-ae2d-4dbc-85e4-ca64fbb01aa2
new-Primetime-master/Android_RefImpl_1.4/t_1.4_create-video-analytics-manager.xml,b3619bee-75b5-42ea-9b61-0fa74c1be632
new-Primetime-master/Android_RefImpl_1.4/t_1.4_configure-video-analytics-manager.xml,04fdb80f-7565-450d-be8c-9ea26c0e26ec
new-Primetime-master/Android_RefImpl_1.4/r_1.4_va-apis-callbacks.xml,43032008-7e7b-45a4-96ae-57c9d23c21ac
new-Primetime-master/Android_RefImpl_1.4/t_1.4_build-custom-ui.xml,6db0ab63-dc35-47ca-93c5-1f5556dcb88a
new-Primetime-master/Android_RefImpl_1.4/c_1.4_troubleshooting.xml,8b07fcfd-8275-4915-8d36-efcaf98b02ea
